# Rime user dictionary
#@/db_name	luna_pinyin_simp
#@/db_type	userdb
#@/rime_version	1.6.1
#@/tick	44474
#@/user_id	ArchLinux
a 	啊	c=9 d=1 t=42959
da gui mo 	大規模	c=1 d=1 t=39574
da jia 	大家	c=36 d=1.12205 t=44113
da jian 	搭建	c=4 d=1 t=19890
da jin qu 	打進去	c=1 d=1 t=22297
da jiu dian 	大酒店	c=1 d=1 t=34974
da kai 	打開	c=13 d=1 t=44390
da kai le 	打开了	c=1 d=1 t=2196
da kui 	大虧	c=1 d=1 t=15632
da lao 	大佬	c=1 d=1 t=36070
da lao 	大老	c=1 d=1 t=36069
da lao 	打撈	c=1 d=1 t=25500
da le 	打了	c=1 d=1 t=23048
da liang 	大量	c=8 d=1 t=41971
da lu 	大陸	c=1 d=1 t=7757
da mo xing 	大模型	c=2 d=1.75957 t=12163
da pei 	搭配	c=2 d=1 t=30825
da pi liang 	大批量	c=1 d=1 t=1653
da qian 	大錢	c=1 d=1 t=39174
da qun 	大羣	c=1 d=1 t=22683
da shen 	大神	c=1 d=1 t=43547
da shuai mai 	大甩卖	c=0 d=0.1 t=16650
da suan 	打算	c=22 d=1.0534 t=40998
da tong 	打通	c=3 d=2.60705 t=16738
da tui 	大腿	c=1 d=1 t=33931
da xiao 	大小	c=10 d=1 t=39592
da xue 	大學	c=3 d=1.16041 t=25153
da yin 	打印	c=17 d=2.41815 t=42399
da yin ji 	打印機	c=2 d=1 t=34918
da ying 	答應	c=1 d=1 t=16006
da yu 	大雨	c=1 d=1 t=41060
da zhuan 	大專	c=1 d=1 t=31517
da zhuan sheng 	大專生	c=1 d=1 t=31520
dai 	代	c=1 d=1 t=29312
dai 	呆	c=1 d=1 t=31447
dai 	带	c=24 d=1.07615 t=42138
dai ai ming 	戴爱明	c=3 d=1 t=35820
dai biao 	代表	c=5 d=1.64043 t=14162
dai dian 	帶點	c=4 d=1.93239 t=39237
dai er 	戴爾	c=1 d=1 t=1739
dai ge 	帶個	c=1 d=1 t=18572
dai jin lai 	帶進來	c=1 d=1 t=34951
dai kuan 	帶寬	c=4 d=1 t=43909
dai lai 	帶來	c=7 d=1.01105 t=44092
dai le 	帶了	c=2 d=1 t=34928
dai li 	代理	c=4 d=2.8606 t=35323
dai ma 	代碼	c=259 d=0.970446 t=44474
dai shang 	帶上	c=2 d=1 t=37549
dai zhe 	帶着	c=0 d=0.1 t=6814
dan 	单	c=11 d=1.14501 t=42116
dan 	淡	c=1 d=1 t=7318
dan chun 	單純	c=1 d=1 t=11268
dan du 	單獨	c=6 d=1 t=26912
dan fan 	但凡	c=1 d=1 t=30119
dan ge 	單個	c=3 d=1.91851 t=39636
dan he 	單核	c=10 d=1 t=20271
dan shi 	但是	c=101 d=1.46071 t=44243
dan teng 	蛋疼	c=7 d=1.48708 t=44408
dan wu 	耽誤	c=4 d=1 t=43053
dan xi 	旦夕	c=1 d=1 t=34515
dan xin 	擔心	c=7 d=1 t=34759
dan xiu 	单休	c=1 d=1 t=7294
dan yuan 	單元	c=3 d=1.00005 t=13293
dang 	党	c=1 d=1 t=596
dang 	当	c=2 d=1 t=10260
dang bu zhu 	擋不住	c=1 d=1 t=19855
dang cheng 	當成	c=3 d=1 t=39883
dang qian 	當前	c=17 d=1.07934 t=29776
dang ran 	當然	c=6 d=1 t=34344
dang ri 	当日	c=2 d=1 t=29096
dang shi 	當時	c=2 d=1.09395 t=30922
dang tian 	當天	c=1 d=1 t=31815
dao 	倒	c=2 d=1 t=18745
dao 	刀	c=1 d=1 t=26435
dao 	到	c=114 d=3.96764 t=43647
dao chu 	導出	c=7 d=1.0251 t=36498
dao di 	到底	c=7 d=1.06925 t=40800
dao le 	到了	c=6 d=1.00082 t=43410
dao lu 	道路	c=1 d=1 t=20166
dao ni 	到你	c=1 d=1 t=38139
dao qiong si 	道琼斯	c=2 d=1 t=16059
dao ru 	導入	c=8 d=1.00022 t=44381
dao shi 	倒是	c=2 d=1 t=29620
dao shi hou 	到時候	c=18 d=1.00011 t=44116
dao wei 	到位	c=1 d=1 t=30820
dao zhi 	導致	c=31 d=3.10929 t=44112
dao zhi de 	導致的	c=1 d=1 t=1135
de 	得	c=15 d=1 t=36370
de 	德	c=1 d=1 t=27661
de 	的	c=2577 d=16.7565 t=44474
de dao 	得到	c=6 d=1.86699 t=14437
de guo 	德國	c=1 d=1 t=13091
de hua 	的話	c=1 d=1 t=2882
de ke 	德科	c=7 d=1 t=44363
de le ba 	得了吧	c=3 d=1 t=33750
de shang 	得上	c=1 d=1 t=9579
deng 	等	c=38 d=1 t=43408
deng bu shang 	等不上	c=5 d=1 t=43535
deng chu lai 	登出來	c=1 d=1 t=41612
deng dai 	等待	c=2 d=1 t=19703
deng deng 	等等	c=4 d=1 t=35854
deng hui er 	等會兒	c=25 d=1 t=42911
deng hui rang 	等會讓	c=1 d=1 t=5855
deng lu 	登錄	c=28 d=2.69735 t=43568
deng lun 	登輪	c=1 d=1 t=8036
deng ni 	等你	c=4 d=1 t=41652
deng shang qu 	登上去	c=1 d=1 t=20763
deng ta 	等他	c=1 d=1 t=23155
deng wo 	等我	c=4 d=1 t=24000
deng yi hui er 	等一會兒	c=1 d=1 t=9584
deng yi xia 	等一下	c=1 d=1 t=24528
di 	低	c=1 d=1 t=25096
di 	地	c=1 d=1 t=3614
di 	弟	c=0 d=0.1 t=15485
di 	第	c=1 d=1 t=5993
di bu 	底部	c=1 d=1 t=8085
di ceng 	低層	c=2 d=1.00008 t=29000
di chan 	地產	c=1 d=1 t=6258
di chu 	牴觸	c=1 d=1 t=37277
di er 	第二	c=1 d=1 t=25187
di er ci 	第二次	c=3 d=1.17996 t=37547
di er ge 	第二個	c=4 d=1.97531 t=17091
di er hang 	第二行	c=1 d=1 t=19009
di er zhong 	第二種	c=2 d=1 t=28890
di fang 	地方	c=14 d=1.92774 t=41968
di fang 	敵方	c=1 d=1 t=41476
di gui 	遞歸	c=1 d=1 t=34775
di li re ba 	迪丽热巴	c=1 d=1 t=33962
di san fang 	第三方	c=6 d=1 t=34671
di tu 	地圖	c=2 d=1.00137 t=7487
di xia 	低下	c=1 d=1 t=11877
di yan ye 	滴眼液	c=1 d=1 t=6001
di yi 	第一	c=1 d=1 t=17392
di yi ban 	第一版	c=1 d=1 t=38943
di yi bian 	第一遍	c=1 d=1 t=37200
di yi ci 	第一次	c=4 d=1.46533 t=37555
di yi ge 	第一個	c=5 d=1 t=42087
di yi hang 	第一行	c=3 d=1.99501 t=18843
di yi ji 	第一級	c=1 d=1 t=37153
di yu 	低于	c=1 d=1 t=37986
di zhi 	地址	c=21 d=1.00001 t=35979
di zhong hai 	地中海	c=1 d=1 t=19846
dian 	点	c=33 d=1 t=43131
dian ban 	點半	c=1 d=1 t=22900
dian dao 	顛倒	c=1 d=1 t=605
dian hua 	電話	c=11 d=1 t=41135
dian ji 	點擊	c=8 d=6.07552 t=3307
dian lu 	電路	c=2 d=1.02399 t=8500
dian nao 	电脑	c=9 d=1 t=41466
dian nao shang 	電腦上	c=1 d=1 t=38538
dian qi 	電器	c=4 d=1.03831 t=3384
dian wang 	電網	c=1 d=1 t=8498
dian yuan 	電源	c=2 d=1.90484 t=30800
dian zi 	電子	c=1 d=1 t=39590
diao 	屌	c=1 d=1 t=41343
diao 	掉	c=18 d=1.95701 t=40563
diao du 	调度	c=10 d=1.00005 t=42639
diao xian 	掉線	c=1 d=1 t=13280
diao yong 	调用	c=71 d=1.64858 t=41170
die 	跌	c=5 d=4.65897 t=15307
die dai 	迭代	c=12 d=1 t=28556
die de 	跌的	c=1 d=1 t=12978
die le 	跌了	c=1 d=1 t=35687
die xia 	跌下	c=1 d=1 t=16286
die zhong die 	碟中谍	c=2 d=1.97531 t=27336
ding 	定	c=4 d=1.00074 t=36559
ding 	顶	c=3 d=1 t=43803
ding ceng 	頂層	c=1 d=1 t=39876
ding gou 	訂購	c=1 d=1 t=30785
ding ji 	頂級	c=2 d=1.99005 t=43958
ding le 	定了	c=2 d=1 t=35101
ding qi 	定期	c=2 d=1 t=29580
ding wei 	定位	c=15 d=1.00115 t=39699
ding yi 	定義	c=4 d=1.042 t=39159
diu 	丢	c=1 d=1 t=19885
diu gei 	丟給	c=0 d=0.1 t=21431
diu gei ta 	丟給他	c=1 d=1 t=21432
diu le 	丟了	c=2 d=1 t=43425
diu qi 	丟棄	c=1 d=1 t=31812
diu zai 	丟在	c=2 d=1 t=12114
dong 	东	c=4 d=1 t=22283
dong 	冻	c=1 d=1 t=40908
dong 	动	c=10 d=1 t=39561
dong 	懂	c=2 d=1 t=27279
dong fang 	東方	c=4 d=1 t=18855
dong guo 	動過	c=2 d=1 t=27437
dong li 	動力	c=1 d=1 t=33410
dong neng 	動能	c=1 d=1 t=793
dong tai 	動態	c=3 d=1 t=24091
dong tai ku 	动态库	c=4 d=1 t=41042
dong xi 	東西	c=35 d=1.34921 t=42966
dong xin 	動心	c=1 d=1 t=35730
dou 	逗	c=1 d=1 t=40688
dou 	都	c=145 d=2.32822 t=44414
dou hao ban 	都好辦	c=1 d=1 t=35297
dou hui 	都會	c=1 d=1 t=1551
dou jiao 	都叫	c=1 d=1 t=38708
dou ke yi 	都可以	c=2 d=1.00112 t=27449
dou mei you 	都沒有	c=1 d=1 t=3728
dou shi 	都是	c=64 d=1.95382 t=43497
dou xiang 	都想	c=1 d=1 t=39924
dou yao 	都要	c=3 d=1 t=43553
dou zai 	都在	c=6 d=1 t=41740
du 	度	c=1 d=1 t=13560
du 	毒	c=1 d=1 t=7060
du 	读	c=6 d=1.01485 t=33748
du cu 	督促	c=1 d=1 t=39642
du dai ma 	读代碼	c=1 d=1 t=5614
du hang 	獨行	c=1 d=1 t=36488
du jin qu 	读進去	c=1 d=1 t=33363
du jue 	杜絕	c=1 d=1 t=10239
du li 	獨立	c=4 d=1.97531 t=11327
du qu 	讀取	c=22 d=1 t=41708
du xiang 	獨享	c=1 d=1 t=43405
du xie 	毒蠍	c=2 d=1.74453 t=14700
du xie 	讀寫	c=5 d=1 t=42061
du zai 	堵在	c=1 d=1 t=19845
du zi 	獨自	c=1 d=1 t=44121
duan 	段	c=3 d=1 t=40117
duan cuo wu 	段錯誤	c=1 d=1 t=17953
duan kou 	端口	c=8 d=1 t=42664
duan qi 	短期	c=2 d=1 t=15604
duan shi jian 	段時間	c=0 d=0.1 t=30791
duan xian 	短線	c=4 d=1 t=39171
dui 	堆	c=3 d=1.18177 t=16724
dui 	对	c=96 d=1.03131 t=44311
dui a 	對啊	c=1 d=1 t=10851
dui bi 	對比	c=11 d=1.02289 t=37788
dui bu 	對不	c=1 d=1 t=3084
dui bu shang 	對不上	c=6 d=1.92312 t=44378
dui de 	對得	c=1 d=1 t=24662
dui de 	對的	c=63 d=1.95555 t=44051
dui hua 	對華	c=1 d=1 t=16239
dui jie 	對接	c=21 d=3.89078 t=42909
dui le 	對了	c=2 d=1 t=21022
dui lie 	隊列	c=4 d=1.92312 t=43196
dui mian 	對面	c=1 d=1 t=36223
dui ni 	對你	c=1 d=1 t=30092
dui qi 	對齊	c=7 d=1.00476 t=24678
dui sheng huo 	對生活	c=1 d=1 t=35670
dui wai 	對外	c=1 d=1 t=34580
dui wan mei 	对完美	c=1 d=1 t=13457
dui wo 	對我	c=1 d=1 t=30099
dui xiang 	對象	c=20 d=1.07592 t=41917
dui yi xia 	对一下	c=1 d=1 t=8740
dui ying 	對應	c=14 d=1.09117 t=40045
dui yu 	對於	c=20 d=1 t=34870
dui zhan 	堆棧	c=6 d=1.00017 t=34530
dui zhe 	對着	c=1 d=1 t=31097
duo 	多	c=40 d=1.06797 t=40575
duo ceng 	多層	c=1 d=1 t=23854
duo chang shi 	多嘗試	c=1 d=1 t=25220
duo chong 	多重	c=1 d=1 t=6918
duo ci 	多次	c=2 d=1 t=37542
duo da 	多大	c=0 d=0.1 t=27316
duo da yong 	多大用	c=1 d=1 t=27317
duo fa 	多發	c=1 d=1 t=44281
duo ge 	多個	c=27 d=1.15521 t=41391
duo hang 	多行	c=4 d=2.9218 t=36494
duo he 	多核	c=5 d=1 t=15892
duo jia 	多加	c=1 d=1 t=3984
duo jin cheng 	多进程	c=3 d=1 t=33645
duo jiu 	多久	c=4 d=1 t=36479
duo kan 	多看	c=1 d=1 t=33857
duo le 	多了	c=4 d=1 t=40825
duo ne 	多呢	c=1 d=1 t=16638
duo shao 	多少	c=5 d=1 t=44370
duo shi 	多是	c=1 d=1 t=31502
duo tiao 	多條	c=1 d=1 t=15928
duo xiang 	多向	c=1 d=1 t=3157
duo xie 	多谢	c=29 d=1.00027 t=39087
duo yu 	多餘	c=2 d=1.97045 t=2800
duo yuan 	多元	c=5 d=3.7688 t=13903
duo zhong 	多種	c=3 d=2.94575 t=25770
e 	额	c=24 d=1.0006 t=43934
e gao 	惡搞	c=1 d=1 t=37500
e luo si 	俄羅斯	c=1 d=1 t=27532
e xin 	噁心	c=5 d=1 t=42031
e yi 	惡意	c=4 d=1 t=39275
ei 	诶	c=0 d=0.1 t=2922
en 	嗯	c=1 d=1 t=39617
en 	恩	c=54 d=1.01685 t=44261
en en 	嗯嗯	c=369 d=1.07305 t=44474
en en e 	嗯嗯额	c=1 d=1 t=6264
en ne 	恩呢	c=4 d=1 t=39310
en sha 	恩沙	c=1 d=1 t=282
er 	二	c=3 d=1 t=35012
er 	儿	c=3 d=1 t=29947
er 	尔	c=2 d=1 t=9372
er bu shi 	而不是	c=1 d=1 t=6513
er cha shu 	二叉樹	c=2 d=1.8781 t=670
er ci 	二次	c=1 d=1 t=23551
er dai 	二代	c=1 d=1 t=9874
er fen fa 	二分法	c=1 d=1 t=9530
er ji 	耳機	c=2 d=1 t=42174
er jin zhi 	二進制	c=37 d=1.65705 t=44223
er qie 	而且	c=4 d=1 t=41813
er shi 	而是	c=3 d=1.99291 t=14023
er shou fang 	二手房	c=1 d=1 t=35497
er tai 	二胎	c=1 d=1 t=33673
er yan 	而言	c=1 d=1 t=13459
er yi 	而已	c=3 d=1.30078 t=42249
er yuan 	二元	c=3 d=2.865 t=28438
fa 	发	c=33 d=1.0008 t=41386
fa 	法	c=2 d=1 t=32860
fa ban ben 	发版本	c=1 d=1 t=35816
fa bao 	發包	c=7 d=1.07054 t=34218
fa bu 	發佈	c=32 d=1 t=43360
fa cai 	發財	c=1 d=1 t=33459
fa cuo 	發錯	c=1 d=1 t=37895
fa cuo le 	發錯了	c=1 d=1 t=37883
fa dao 	發到	c=1 d=1 t=21656
fa de 	發的	c=1 d=1 t=20605
fa ge 	發個	c=9 d=1.19109 t=43817
fa gei 	发给	c=0 d=0.1 t=3073
fa gei ni 	發給你	c=2 d=1.00064 t=39462
fa gei ta 	發給他	c=1 d=1 t=10651
fa guo 	法國	c=1 d=1 t=13092
fa hui 	發揮	c=1 d=1 t=42128
fa le 	發了	c=3 d=1.01441 t=44346
fa qi 	發起	c=1 d=1 t=2572
fa ren 	法人	c=1 d=1 t=33912
fa se 	髮色	c=1 d=1 t=15376
fa she 	發射	c=11 d=2.7162 t=41993
fa sheng 	發生	c=2 d=1.97531 t=44129
fa song 	發送	c=2 d=1 t=23058
fa song qi 	發送器	c=2 d=1.9802 t=31250
fa wo 	发我	c=11 d=1 t=43248
fa wo 	法我	c=2 d=1 t=8722
fa xian 	發現	c=27 d=1.00003 t=44096
fa xing 	发行	c=5 d=3.7549 t=10615
fa xing ban 	發行版	c=1 d=1 t=22003
fa yu 	發育	c=1 d=1 t=15657
fa zhan 	發展	c=1 d=1 t=12577
fan 	凡	c=1 d=1 t=10622
fan 	反	c=1 d=1 t=35981
fan 	烦	c=4 d=1.05785 t=35449
fan 	范	c=1 d=1 t=5995
fan 	饭	c=2 d=1 t=39401
fan cuo 	犯錯	c=1 d=1 t=30964
fan dui 	反對	c=1 d=1 t=43613
fan gan 	反感	c=1 d=1 t=36842
fan hong 	翻紅	c=1 d=1 t=13106
fan hui 	返回	c=16 d=1.12682 t=39487
fan hui zhi 	返回值	c=5 d=1 t=38481
fan kui 	反饋	c=5 d=1.33809 t=30073
fan kui de 	反饋的	c=1 d=1 t=29847
fan qiang 	翻牆	c=2 d=1.90484 t=10034
fan xu lie hua 	反序列化	c=1 d=1 t=17999
fan ye 	翻頁	c=1 d=1 t=39598
fan yi 	反義	c=1 d=1 t=2798
fan yi 	翻譯	c=13 d=1.97516 t=44474
fan ying 	反映	c=4 d=1 t=33641
fan zao 	煩躁	c=1 d=1 t=35677
fan zheng 	反正	c=6 d=1 t=41665
fang 	放	c=20 d=1 t=41035
fang 	方	c=5 d=1.12003 t=16648
fang an 	方案	c=9 d=1 t=33310
fang bian 	方便	c=35 d=1 t=43719
fang bian bu 	方便不	c=1 d=1 t=8744
fang bu 	方步	c=2 d=1 t=23768
fang bu kai 	放不開	c=1 d=1 t=30961
fang bu sheng fang 	防不勝防	c=1 d=1 t=25259
fang cha 	方差	c=1 d=1 t=13919
fang dao 	放到	c=22 d=1 t=43968
fang dong 	房東	c=1 d=1 t=35463
fang fa 	方法	c=8 d=1.04179 t=32438
fang fang mian mian 	方方面面	c=1 d=1 t=33777
fang huo qiang 	防火牆	c=1 d=1 t=26530
fang jian 	房間	c=1 d=1 t=2555
fang kai 	放開	c=1 d=1 t=2411
fang mian 	方面	c=4 d=1.00006 t=36637
fang shi 	方式	c=14 d=1 t=38727
fang song 	放鬆	c=2 d=1.99501 t=1343
fang wen 	訪問	c=7 d=3.71111 t=26119
fang xin 	放心	c=1 d=1 t=10652
fang zai 	放在	c=5 d=1.00014 t=35301
fang zhao 	仿照	c=1 d=1 t=27259
fang zhe 	放着	c=2 d=1 t=40995
fang zhen 	仿真	c=1 d=1 t=25785
fang zhen 	方針	c=1 d=1 t=10994
fang zhi 	防止	c=2 d=1.00002 t=35324
fang zi 	房子	c=1 d=1 t=35469
fei 	妃	c=1 d=1 t=34899
fei 	废	c=1 d=1 t=35668
fei 	费	c=1 d=1 t=9409
fei 	非	c=19 d=1.00861 t=44466
fei 	飞	c=49 d=1.87834 t=42954
fei bu 	肺部	c=0 d=0.1 t=12412
fei bu na qi 	肺部拿起	c=1 d=1 t=12413
fei chang 	非常	c=22 d=1 t=28686
fei chang gao 	非常高	c=1 d=1 t=35224
fei cui qian gui 	翡翠钱柜	c=1 d=1 t=13208
fei diao 	廢掉	c=1 d=1 t=43430
fei fa 	非法	c=4 d=1 t=31980
fei le 	廢了	c=1 d=1 t=31892
fei shi jian 	費時間	c=1 d=1 t=21870
fei shu 	飛書	c=9 d=2.42613 t=38043
fen 	分	c=42 d=1.64874 t=43104
fen bie 	分別	c=7 d=1 t=44329
fen bu 	分佈	c=9 d=1 t=41791
fen bu shi 	分佈式	c=1 d=1 t=5777
fen chai 	分拆	c=2 d=1 t=34379
fen duan 	分段	c=1 d=1 t=14132
fen fa 	分發	c=4 d=1 t=23526
fen ge 	分割	c=4 d=1 t=37063
fen hang 	分行	c=2 d=1.81873 t=42892
fen jie 	分解	c=2 d=1 t=7646
fen kai 	分開	c=4 d=1 t=30259
fen lei 	分類	c=8 d=1.99005 t=34964
fen li 	分離	c=2 d=1.1437 t=13172
fen li du 	分离度	c=2 d=1.97531 t=25978
fen lie 	分裂	c=1 d=1 t=8051
fen pei 	分配	c=9 d=1.00204 t=42614
fen pei dao 	分配到	c=1 d=1 t=15401
fen qu 	分區	c=3 d=1 t=43310
fen shou 	分手	c=1 d=1 t=40111
fen shu 	分數	c=2 d=1 t=14134
fen wei 	分爲	c=2 d=1.96561 t=17396
fen xi 	分析	c=9 d=1 t=38511
fen xiang 	分享	c=1 d=1 t=11648
fen xin 	分心	c=1 d=1 t=20683
fen zhong 	分鐘	c=3 d=1 t=32271
fen zi 	分子	c=3 d=1 t=12038
feng 	峰	c=3 d=1.70822 t=41333
feng 	风	c=1 d=1 t=32003
feng bi 	封閉	c=2 d=1 t=22504
feng shan 	風扇	c=2 d=1.89137 t=41462
feng xian 	風險	c=1 d=1 t=10596
feng zhuang 	封裝	c=15 d=3.19881 t=41226
fou 	缶	c=1 d=1 t=2062
fou ze 	否則	c=4 d=1 t=17217
fu 	复	c=2 d=1 t=31667
fu 	富	c=1 d=1 t=43413
fu 	福	c=3 d=2.18583 t=7671
fu ben 	副本	c=1 d=1 t=43293
fu dan 	負擔	c=1 d=1 t=42211
fu dian 	浮點	c=1 d=1 t=29952
fu feng 	扶風	c=2 d=1.91851 t=34289
fu gai 	覆蓋	c=6 d=1 t=42583
fu hao 	符號	c=3 d=1.13068 t=43182
fu hao wei 	符号位	c=2 d=1.64726 t=8214
fu he 	符合	c=1 d=1 t=16041
fu he 	複合	c=3 d=1 t=16040
fu kuan 	付款	c=1 d=1 t=10025
fu lai te 	福来特	c=1 d=1 t=54
fu lu 	附錄	c=1 d=1 t=17573
fu neng liang 	负能量	c=1 d=1 t=35683
fu quan 	復權	c=6 d=3.82882 t=20154
fu shu 	負數	c=1 d=1 t=21809
fu su 	復甦	c=1 d=1 t=13121
fu tu 	附圖	c=0 d=0.1 t=3823
fu tu niu niu 	附圖牛牛	c=2 d=1.99501 t=3825
fu wu 	服務	c=7 d=1 t=42760
fu wu qi 	服務器	c=95 d=1.88362 t=44474
fu xie 	腹瀉	c=1 d=1 t=40899
fu yao bo li 	福耀玻璃	c=1 d=1 t=8564
fu yong 	復用	c=6 d=1 t=37540
fu za 	複雜	c=10 d=1 t=37263
fu za du 	複雜度	c=1 d=1 t=14527
fu zai 	負載	c=6 d=1 t=41763
fu ze 	負責	c=10 d=1 t=34001
fu zhai 	负债	c=1 d=1 t=786
fu zhi 	複製	c=3 d=1.9802 t=36485
fu zhu 	輔助	c=2 d=1 t=40438
gai 	改	c=83 d=1.08998 t=43787
gai 	该	c=7 d=1.00002 t=28029
gai bian 	改變	c=7 d=1.99013 t=42245
gai cheng 	改成	c=17 d=0.102454 t=41237
gai cheng le 	改成了	c=1 d=1 t=41238
gai de 	改的	c=4 d=1 t=33690
gai diao 	蓋掉	c=1 d=1 t=16095
gai dong 	改動	c=4 d=1 t=33219
gai gai 	改改	c=1 d=1 t=37565
gai ge 	改個	c=1 d=1 t=21609
gai guo lai 	改過來	c=1 d=1 t=11387
gai hao 	蓋好	c=1 d=1 t=30694
gai hao le 	改好了	c=1 d=1 t=25647
gai jin 	改進	c=1 d=1 t=36730
gai le 	改了	c=23 d=1.71941 t=39953
gai lv 	概率	c=1 d=1 t=14149
gai ming 	改名	c=1 d=1 t=23684
gai nian 	概念	c=1 d=1 t=5444
gai nian gu 	概念股	c=1 d=1 t=31601
gai qi lai 	改起來	c=1 d=1 t=4626
gai shan 	改善	c=1 d=1 t=6813
gai xie 	改寫	c=2 d=1.96561 t=29628
gai yi xia 	改一下	c=5 d=1 t=34123
gai zao 	改造	c=1 d=1 t=29601
gai zhuang 	改裝	c=1 d=1 t=41469
gan 	干	c=6 d=1.00601 t=35359
gan 	敢	c=2 d=1 t=32283
gan bu le 	幹不了	c=1 d=1 t=39229
gan cui 	干脆	c=2 d=1 t=41227
gan de 	乾的	c=2 d=1 t=20677
gan diao 	幹掉	c=3 d=1 t=43701
gan ga 	尷尬	c=1 d=1 t=37893
gan huo 	幹活	c=0 d=0.1 t=3043
gan jin 	趕緊	c=2 d=1 t=26283
gan jing 	乾淨	c=4 d=1 t=43739
gan jue 	感覺	c=179 d=1.00972 t=44168
gan le 	乾了	c=1 d=1 t=20484
gan ma 	幹嘛	c=3 d=1 t=39913
gan rao 	干擾	c=1 d=0.99005 t=44474
gan sa zi 	干撒子	c=1 d=1 t=4592
gan sha 	幹啥	c=3 d=1.00007 t=31543
gan xie 	幹些	c=1 d=1 t=33349
gan xie 	感謝	c=9 d=1.00243 t=33350
gan xing qu 	感興趣	c=1 d=1 t=8449
gang 	刚	c=13 d=1.00428 t=42052
gang gang 	剛剛	c=25 d=1 t=44345
gang tie xia 	钢铁侠	c=1 d=1 t=33343
gao 	搞	c=94 d=1.07717 t=44399
gao 	高	c=15 d=1 t=41830
gao bu hao 	搞不好	c=4 d=1 t=39922
gao bu qing chu 	搞不清楚	c=1 d=1 t=188
gao ceng 	高層	c=1 d=1 t=16191
gao cheng 	搞成	c=3 d=1.97531 t=44465
gao chu lai 	搞出來	c=1 d=1 t=35880
gao cuo le 	搞錯了	c=1 d=1 t=35380
gao dao 	搞到	c=4 d=1 t=40678
gao ding 	搞定	c=4 d=1.0147 t=40372
gao ding le 	搞定了	c=1 d=1 t=37441
gao du 	高度	c=1 d=1 t=6459
gao duan 	高端	c=2 d=1 t=43960
gao gao 	搞搞	c=1 d=1 t=43683
gao hao le 	搞好了	c=1 d=1 t=20472
gao ji 	高級	c=3 d=1.96561 t=42609
gao jing 	告警	c=2 d=1.94176 t=36940
gao qi lai 	搞起來	c=2 d=1 t=26284
gao shang qu 	搞上去	c=1 d=1 t=15328
gao si guo cheng 	高斯过程	c=1 d=1 t=13127
gao su 	告訴	c=6 d=1.0001 t=43415
gao su 	高速	c=1 d=1 t=28142
gao su ni 	告訴你	c=5 d=1 t=41501
gao tie 	高鐵	c=0 d=0.1 t=40501
gao tie shang 	高鐵上	c=1 d=1 t=40502
gao wan 	搞完	c=2 d=1 t=42267
gao xiao 	高效	c=6 d=2.00788 t=29101
gao xing neng 	高性能	c=1 d=1 t=16127
gao ya 	高壓	c=1 d=1 t=12662
gao zai 	搞在	c=1 d=1 t=36304
gao zhong 	高中	c=1 d=1 t=33883
ge 	个	c=173 d=1.51557 t=44405
ge 	哥	c=240 d=2.19947 t=44473
ge 	歌	c=3 d=1 t=23818
ge ge 	各個	c=3 d=1 t=44238
ge jiu cai 	割韭菜	c=1 d=1 t=31746
ge ju 	格局	c=1 d=1 t=33956
ge li 	隔離	c=14 d=1 t=30313
ge men 	哥們	c=1 d=1 t=44078
ge ren 	個人	c=12 d=3.06909 t=43910
ge san cha wu 	隔三岔五	c=1 d=1 t=17066
ge shi 	格式	c=15 d=1.01253 t=38070
ge shi hua 	格式化	c=3 d=1 t=39897
ge shu 	個數	c=1 d=1 t=31354
ge zhong 	各種	c=3 d=1 t=33161
ge zi 	各自	c=1 d=1 t=43715
gei 	给	c=66 d=1.00447 t=43513
gei chu lai 	给出来	c=1 d=1 t=20490
gei de 	給的	c=5 d=1.02273 t=42437
gei ding 	給定	c=1 d=1 t=13676
gei ge 	給個	c=3 d=0.1 t=31042
gei li 	給力	c=5 d=1 t=42151
gei ni 	給你	c=61 d=1.12999 t=43818
gei ni de 	給你的	c=1 d=1 t=44204
gei ni ma 	给你嘛	c=3 d=1 t=43767
gei ta 	給他	c=5 d=1.93239 t=41361
gei ta men 	給他們	c=1 d=1 t=36608
gei wa men 	给娃们	c=3 d=1 t=31015
gei wo 	給我	c=33 d=1.55157 t=43491
gen 	跟	c=4 d=0.1 t=29090
gen ben 	根本	c=4 d=1 t=40434
gen bu shang 	跟不上	c=1 d=1 t=10983
gen fu za 	跟複雜	c=1 d=1 t=7151
gen gao xiao 	跟高效	c=1 d=1 t=29091
gen ju 	根據	c=9 d=1 t=36728
gen ni 	跟你	c=1 d=1 t=33854
gen qiong 	跟穷	c=1 d=1 t=31554
gen wo 	跟我	c=1 d=0.965605 t=44474
gen zhe 	跟着	c=2 d=1 t=26185
gen zong 	跟蹤	c=1 d=1 t=1363
geng duo 	更多	c=2 d=1 t=17532
geng fang bian 	更方便	c=4 d=1 t=26831
geng hao 	更好	c=7 d=1 t=33154
geng hao de 	更好的	c=1 d=1 t=13182
geng huan 	更換	c=1 d=1 t=1670
geng jia 	更加	c=8 d=1.01955 t=43738
geng ke kao 	更可靠	c=1 d=1 t=12184
geng rong yi 	更容易	c=1 d=1 t=34718
geng xin 	更新	c=74 d=1.09877 t=42337
gong 	公	c=2 d=1 t=36992
gong 	工	c=1 d=1 t=33434
gong cheng 	工程	c=2 d=1.98511 t=31883
