# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.6.1
#@/tick	2975
#@/user_id	ArchLinux
a 	啊	c=2 d=0.674602 t=2975
ri 	日	c=2 d=0.0617692 t=2975
rong yu 	冗餘	c=1 d=0.201897 t=2975
ru 	入	c=1 d=0.00767337 t=2975
ru 	如	c=1 d=0.00763509 t=2975
ru guo 	入鍋	c=1 d=0.222017 t=2975
ru guo 	如果	c=4 d=1.12025 t=2975
ru xia 	如下	c=1 d=0.240508 t=2975
ruan jian 	軟件	c=3 d=1.06447 t=2975
ruan jian bao 	軟件包	c=1 d=0.625003 t=2975
san 	三	c=1 d=0.856415 t=2975
san ge 	三個	c=1 d=0.831104 t=2975
sha 	啥	c=4 d=1.2057 t=2975
sha 	沙	c=1 d=0.0122774 t=2975
sha shi hou 	啥時候	c=2 d=0.46849 t=2975
shan chu 	刪除	c=7 d=1.81547 t=2975
shang 	上	c=24 d=5.47913 t=2975
shang liang 	商量	c=1 d=0.292293 t=2975
shang mian 	上面	c=1 d=0.17552 t=2975
shang qu 	上去	c=1 d=0.0380064 t=2975
shang shou 	上手	c=1 d=0.474734 t=2975
shang wang 	上網	c=1 d=0.0028799 t=2975
shang wu 	上午	c=2 d=0.985585 t=2975
shang xian 	上線	c=2 d=0.104098 t=2975
shao 	邵	c=1 d=0.157237 t=2975
shao deng 	稍等	c=4 d=0.462318 t=2975
she bei 	設備	c=1 d=0.285076 t=2975
she qu 	社區	c=3 d=1.50637 t=2975
she zhi 	設置	c=3 d=0.553656 t=2975
shen 	沈	c=1 d=0.923116 t=2975
shen du 	深度	c=1 d=0.380983 t=2975
shen me 	什麼	c=9 d=1.12178 t=2975
sheng 	晟	c=3 d=0.0309319 t=2975
sheng 	生	c=1 d=0.0049667 t=2975
sheng cheng 	生成	c=2 d=0.143502 t=2975
sheng ji 	升級	c=10 d=1.40819 t=2975
sheng pi 	生僻	c=2 d=1.97032 t=2975
sheng pi zi 	生僻字	c=2 d=1.99005 t=2975
shi 	事	c=1 d=0.0446009 t=2975
shi 	式	c=4 d=0.050893 t=2975
shi 	是	c=33 d=3.39133 t=2975
shi bu shi 	是不是	c=3 d=0.693758 t=2975
shi fou 	是否	c=1 d=0.00540733 t=2975
shi hou 	時候	c=3 d=0.19391 t=2975
shi jian 	時間	c=3 d=0.648168 t=2975
shi ling 	失靈	c=2 d=0.0209921 t=2975
shi pei 	適配	c=1 d=0.024234 t=2975
shi sha 	是啥	c=2 d=1.46237 t=2975
shi shi 	試試	c=2 d=0.158438 t=2975
shi xi 	實習	c=1 d=0.5975 t=2975
shi xian 	實現	c=2 d=0.600496 t=2975
shi yong 	使用	c=7 d=0.602772 t=2975
shi zai 	實在	c=1 d=0.235746 t=2975
shou dao 	收到	c=1 d=0.110803 t=2975
shou dong 	手動	c=4 d=0.602972 t=2975
shou fa 	收發	c=1 d=0.113608 t=2975
shou xian 	首先	c=3 d=0.0794137 t=2975
shu 	數	c=2 d=1.45794 t=2975
shu 	書	c=17 d=3.95392 t=2975
shu biao 	鼠標	c=1 d=0.179066 t=2975
shu ru 	輸入	c=1 d=0.00373503 t=2975
shu ru fa 	輸入法	c=1 d=0.0115047 t=2975
shu zi 	數字	c=1 d=0.913931 t=2975
shua 	刷	c=4 d=0.0581217 t=2975
shua xin 	刷新	c=3 d=1.04046 t=2975
shuo 	說	c=4 d=0.695758 t=2975
shuo you 	說有	c=1 d=0.423162 t=2975
song 	送	c=1 d=0.00634556 t=2975
sou suo 	搜索	c=1 d=0.621885 t=2975
suan 	算	c=1 d=0.263158 t=2975
sui ji 	隨即	c=1 d=0.494109 t=2975
sui ji 	隨機	c=2 d=1.40595 t=2975
suo lve 	縮略	c=1 d=0.021068 t=2975
suo you 	所有	c=2 d=0.852719 t=2975
suo zhu 	鎖住	c=1 d=0.00663763 t=2975
ta 	他	c=2 d=0.0327566 t=2975
ta 	它	c=2 d=1.23955 t=2975
ta men 	他們	c=4 d=0.904697 t=2975
tai 	太	c=1 d=0.0184074 t=2975
tai 	態	c=1 d=0.11475 t=2975
tai 	臺	c=1 d=0.124307 t=2975
tai da 	太大	c=1 d=0.0281559 t=2975
tai fu za 	太複雜	c=1 d=0.985112 t=2975
tai shi ji 	臺式機	c=3 d=1.32701 t=2975
tai wan 	臺灣	c=2 d=0.246373 t=2975
tan suo 	探索	c=1 d=0.153355 t=2975
te ding 	特定	c=1 d=0.10383 t=2975
teng xun 	騰訊	c=0 d=0.0146607 t=2975
teng xun yun 	騰訊雲	c=1 d=0.147342 t=2975
ti 	提	c=7 d=1.45797 t=2975
ti chu 	剔除	c=1 d=0.818731 t=2975
ti gao 	體高	c=2 d=0.540137 t=2975
ti gong 	提供	c=2 d=0.496559 t=2975
ti huan 	替換	c=3 d=1.36474 t=2975
ti jiao 	提交	c=13 d=1.25804 t=2975
ti jiao 	體校	c=1 d=0.00559993 t=2975
ti xing 	提醒	c=1 d=0.927743 t=2975
tian jia 	添加	c=2 d=0.738132 t=2975
tiao shi 	調試	c=6 d=2.75568 t=2975
tiao zheng 	調整	c=1 d=0.0293049 t=2975
tiao zhuan 	跳轉	c=1 d=0.56836 t=2975
tie mu 	貼目	c=0 d=0.0265803 t=2975
tong 	同	c=1 d=0.0443785 t=2975
tong 	通	c=3 d=0.149086 t=2975
tong bu 	同步	c=13 d=2.06972 t=2975
tong guo 	通過	c=2 d=0.46001 t=2975
tong ji 	統計	c=1 d=0.188247 t=2975
tong shi 	同事	c=2 d=0.537945 t=2975
tong yi 	統一	c=1 d=0.00615802 t=2975
tong zhi 	通知	c=1 d=0.18452 t=2975
tou wen jian 	頭文件	c=1 d=0.0428521 t=2975
tu ceng 	圖層	c=1 d=0.83527 t=2975
tui 	推	c=1 d=0.0180429 t=2975
tui chu 	推出	c=1 d=0.744532 t=2975
wan wan quan quan 	完完全全	c=1 d=0.0757741 t=2975
wang 	王	c=1 d=0.26982 t=2975
wang luo 	網絡	c=7 d=1.24976 t=2975
wang qi shan 	王岐山	c=1 d=0.847894 t=2975
wang xian 	網線	c=1 d=0.392586 t=2975
wang ye 	網頁	c=1 d=0.105928 t=2975
wang yi 	網易	c=1 d=0.571209 t=2975
wang zhan 	網站	c=1 d=0.172907 t=2975
wei 	爲	c=4 d=1.50012 t=2975
wei 	維	c=1 d=0.918512 t=2975
wei ruan 	微軟	c=1 d=0.918512 t=2975
wei sha 	爲啥	c=1 d=0.0413782 t=2975
wen 	文	c=9 d=1.33737 t=2975
wen dang 	文檔	c=3 d=0.696156 t=2975
wen jian 	文件	c=7 d=1.41291 t=2975
wen jian 	穩健	c=4 d=0.059997 t=2975
wen jian jia 	文件夾	c=2 d=0.0402425 t=2975
wen ti 	問題	c=31 d=4.45358 t=2975
wen wen 	問問	c=2 d=1.01224 t=2975
wo 	我	c=57 d=10.7517 t=2975
wo men 	我們	c=21 d=4.43274 t=2975
wu xu 	無需	c=2 d=0.425667 t=2975
xi mu 	希姆	c=1 d=0.103312 t=2975
xi tong 	系統	c=6 d=1.98224 t=2975
xia 	下	c=5 d=0.988681 t=2975
xia mian 	下面	c=4 d=0.545282 t=2975
xia wu 	下午	c=2 d=0.33421 t=2975
xia zai 	下載	c=3 d=0.181737 t=2975
xian 	先	c=6 d=1.2129 t=2975
xian shi 	顯示	c=1 d=0.276651 t=2975
xian zai 	現在	c=12 d=1.07398 t=2975
xian zhi 	限制	c=1 d=0.224249 t=2975
xiang 	像	c=2 d=0.175472 t=2975
xiang 	向	c=1 d=0.0265162 t=2975
xiang 	想	c=2 d=0.934336 t=2975
xiang ban fa 	想辦法	c=1 d=0.995012 t=2975
xiang guan 	相關	c=3 d=0.184453 t=2975
xiang mu 	項目	c=2 d=0.151829 t=2975
xiao 	曉	c=1 d=0.00904991 t=2975
xiao chu 	削除	c=1 d=0.946485 t=2975
xiao chu 	消除	c=1 d=0.951229 t=2975
xiao wen ti 	小問題	c=1 d=0.106459 t=2975
xie 	寫	c=4 d=0.87158 t=2975
xie dao 	寫到	c=1 d=0.264477 t=2975
xie de 	寫的	c=2 d=1.08402 t=2975
xie ge 	寫個	c=1 d=0.386741 t=2975
xie tiao 	協調	c=1 d=0.043937 t=2975
xie xie 	謝謝	c=5 d=1.24873 t=2975
xie zai 	卸載	c=2 d=0.0637341 t=2975
xin 	新	c=11 d=0.417469 t=2975
xin de 	新的	c=1 d=0.00501661 t=2975
xin hao liang 	信號量	c=3 d=0.333094 t=2975
xin ku 	辛苦	c=5 d=0.712041 t=2975
xin xi 	信息	c=1 d=0.609571 t=2975
xing 	行	c=1 d=0.00618888 t=2975
xing hao 	型號	c=2 d=0.324717 t=2975
xing le 	行了	c=1 d=0.609571 t=2975
xing neng 	性能	c=2 d=0.931009 t=2975
xiu fu 	修復	c=7 d=1.22119 t=2975
xiu gai 	修改	c=4 d=0.202865 t=2975
xiu hao le 	修好了	c=1 d=0.0403566 t=2975
xu 	許	c=1 d=0.932394 t=2975
xu ni 	虛擬	c=2 d=0.59784 t=2975
xu ni ji 	虛擬機	c=10 d=1.04155 t=2975
xu qiu 	需求	c=5 d=1.73963 t=2975
xu yao 	需要	c=13 d=1.63307 t=2975
xun huan 	循環	c=2 d=0.386102 t=2975
xun huang 	巡皇	c=1 d=0.19593 t=2975
ya ma xun 	亞馬遜	c=1 d=0.265803 t=2975
yang 	陽	c=1 d=0.585669 t=2975
yao 	要	c=15 d=1.27748 t=2975
yao bu ran 	要不然	c=1 d=0.00315111 t=2975
yao bu yao 	要不要	c=2 d=1.12289 t=2975
ye 	也	c=8 d=1.27374 t=2975
ye ke yi 	也可以	c=1 d=0.744532 t=2975
ye shi 	也是	c=1 d=0.647265 t=2975
ye yao 	也要	c=1 d=0.543351 t=2975
ye you 	也有	c=1 d=0.0391639 t=2975
ye you xie 	也有些	c=1 d=0.0483156 t=2975
yi 	一	c=2 d=0.329145 t=2975
yi 	壹	c=1 d=0.250324 t=2975
yi bu 	一步	c=1 d=0.0513033 t=2975
yi ci 	一次	c=3 d=0.910866 t=2975
yi dong 	移動	c=1 d=0.554327 t=2975
yi ge 	一個	c=11 d=0.842642 t=2975
yi gong 	一共	c=5 d=1.73024 t=2975
yi gou 	異構	c=2 d=1.08435 t=2975
yi hou 	以後	c=3 d=0.64838 t=2975
yi huo 	亦或	c=1 d=0.453845 t=2975
yi ji 	以及	c=2 d=0.172996 t=2975
yi jing 	已經	c=16 d=1.6196 t=2975
yi kai shi 	一開始	c=1 d=0.410656 t=2975
yi lai 	依賴	c=3 d=0.626262 t=2975
yi qi 	一起	c=1 d=0.554327 t=2975
yi si 	意思	c=1 d=0.375311 t=2975
yi tai 	一臺	c=2 d=0.00534388 t=2975
yi xia 	一下	c=52 d=4.59396 t=2975
yi xie 	一些	c=2 d=0.345059 t=2975
yi yang 	一樣	c=2 d=0.814647 t=2975
yi zhi 	一致	c=2 d=0.364219 t=2975
yin ci 	因此	c=1 d=0.145148 t=2975
yin pin 	音頻	c=1 d=0.315058 t=2975
yin wei 	因爲	c=3 d=0.851969 t=2975
yin yue 	音樂	c=1 d=0.574072 t=2975
ying gai 	應該	c=8 d=0.938297 t=2975
ying jian 	硬件	c=3 d=1.06843 t=2975
ying pan 	硬盤	c=1 d=0.0277366 t=2975
ying she 	映射	c=3 d=1.66607 t=2975
ying wen 	英文	c=6 d=1.11509 t=2975
ying xiang 	影響	c=1 d=0.0330412 t=2975
ying yu 	英語	c=1 d=0.557106 t=2975
yong 	勇	c=8 d=2.61621 t=2975
yong 	永	c=2 d=0.467447 t=2975
yong 	用	c=9 d=1.91507 t=2975
yong de 	用的	c=3 d=0.873492 t=2975
yong hu 	用戶	c=4 d=1.57554 t=2975
yong hu ming 	用戶名	c=1 d=0.941765 t=2975
yong lai 	用來	c=1 d=0.160413 t=2975
yong sha 	用啥	c=1 d=0.650509 t=2975
you 	有	c=22 d=1.94154 t=2975
you de 	有的	c=1 d=0.57695 t=2975
you dian 	有點	c=3 d=1.00337 t=2975
you ge 	有個	c=4 d=1.0404 t=2975
you hua 	優化	c=2 d=0.682151 t=2975
you jian 	郵件	c=1 d=0.113041 t=2975
you mei you 	有沒有	c=2 d=0.611778 t=2975
you shen me 	有什麼	c=1 d=0.873716 t=2975
you shi 	又是	c=2 d=0.435478 t=2975
you wen ti 	有問題	c=2 d=0.748083 t=2975
you xian 	優先	c=1 d=0.044601 t=2975
you xie 	有些	c=5 d=0.54464 t=2975
you xu yao 	有需要	c=1 d=0.631284 t=2975
you yi ge 	又一個	c=1 d=0.0152222 t=2975
you yi zhong 	有一種	c=1 d=0.412714 t=2975
yu dao 	遇到	c=6 d=1.82071 t=2975
yu dao guo 	遇到過	c=1 d=0.683861 t=2975
yu ming 	域名	c=1 d=0.126819 t=2975
yuan 	元	c=1 d=0.00697795 t=2975
yuan 	袁	c=20 d=5.19395 t=2975
yuan cheng 	遠程	c=4 d=0.959172 t=2975
yuan lai 	原來	c=2 d=0.818768 t=2975
yuan lai ru ci 	原來如此	c=1 d=0.313486 t=2975
yuan lao shi 	袁老師	c=1 d=0.690734 t=2975
yuan li 	原理	c=1 d=0.603505 t=2975
yuan sheng 	原生	c=1 d=0.810584 t=2975
yuan ze shang 	原則上	c=2 d=0.889668 t=2975
yun 	雲	c=3 d=0.12922 t=2975
yun suan fu 	運算符	c=2 d=0.907701 t=2975
yun xing 	運行	c=1 d=0.149568 t=2975
zai 	再	c=15 d=1.82218 t=2975
zai 	在	c=21 d=3.61419 t=2975
zai 	載	c=1 d=0.748264 t=2975
zai shuo 	再說	c=1 d=0.0031042 t=2975
zan shi 	暫時	c=1 d=0.97531 t=2975
zan ting 	暫停	c=3 d=0.137414 t=2975
zao bao 	早報	c=7 d=1.37275 t=2975
zen me 	怎麼	c=2 d=0.391506 t=2975
zeng jia 	增加	c=1 d=0.860708 t=2975
zhai wu 	債務	c=1 d=0.22313 t=2975
zhan 	棧	c=1 d=0.822835 t=2975
zhan man 	沾滿	c=1 d=0.0287246 t=2975
zhan yong 	佔用	c=1 d=0.0290134 t=2975
zhang 	張	c=1 d=0.246597 t=2975
zhang hao 	帳號	c=3 d=0.49469 t=2975
zhao 	找	c=3 d=0.647265 t=2975
zhao bu dao 	找不到	c=1 d=0.0968105 t=2975
zhao ge 	找個	c=2 d=0.130662 t=2975
zhao wo 	找我	c=2 d=0.492924 t=2975
zhe 	這	c=1 d=0.650509 t=2975
zhe bian 	這邊	c=4 d=1.60753 t=2975
zhe ge 	這個	c=40 d=4.94212 t=2975
zhe li 	這裏	c=1 d=0.941765 t=2975
zhe liang tian 	這兩天	c=1 d=0.04573 t=2975
zhe shi 	這是	c=4 d=0.0500056 t=2975
zhe xie 	這些	c=2 d=0.632783 t=2975
zhe yang 	這樣	c=4 d=0.562944 t=2975
zhe zhong 	這種	c=1 d=0.00985275 t=2975
zhen duan 	診斷	c=1 d=0.67032 t=2975
zhen jia 	真假	c=2 d=0.856415 t=2975
zhen ren 	真人	c=1 d=0.247833 t=2975
zheng 	正	c=3 d=0.6792 t=2975
zheng fu 	政府	c=1 d=0.172907 t=2975
zheng li 	整理	c=1 d=0.255381 t=2975
zheng ti 	整體	c=1 d=0.0096577 t=2975
zheng zai 	正在	c=5 d=1.03995 t=2975
zhi 	志	c=1 d=0.031117 t=2975
zhi 	支	c=7 d=1.58461 t=2975
zhi bu guo 	只不過	c=1 d=0.0724397 t=2975
zhi chi 	支持	c=9 d=2.36221 t=2975
zhi dao 	知道	c=5 d=0.759523 t=2975
zhi ding 	制定	c=1 d=0.0262523 t=2975
zhi ding 	指定	c=1 d=0.794534 t=2975
zhi hou 	之後	c=1 d=0.154124 t=2975
zhi jie 	直接	c=8 d=2.69135 t=2975
zhi ling 	指令	c=1 d=0.215456 t=2975
zhi nan 	指南	c=2 d=0.241871 t=2975
zhi qian 	之前	c=3 d=0.891366 t=2975
zhi shi 	只是	c=1 d=0.0164078 t=2975
zhi xing 	執行	c=5 d=1.21909 t=2975
zhi you 	只有	c=1 d=0.128093 t=2975
zhi zhen 	指針	c=1 d=0.447088 t=2975
zhi zuo 	製作	c=3 d=0.0128368 t=2975
zhong 	中	c=6 d=1.1758 t=2975
zhong guo 	中國	c=2 d=0.44739 t=2975
zhong wen 	中文	c=1 d=0.166127 t=2975
zhu shi 	註釋	c=2 d=0.159748 t=2975
zhu xi 	主席	c=1 d=0.227638 t=2975
zhu yao 	主要	c=2 d=0.207109 t=2975
zhu yao 	豬腰	c=1 d=0.158025 t=2975
zhu yao shi 	主要是	c=1 d=0.0314298 t=2975
zhu yi 	注意	c=1 d=0.0359725 t=2975
zhuan fa 	轉發	c=1 d=0.00708341 t=2975
zhuan huan 	轉換	c=3 d=1.17325 t=2975
zhuan men 	專門	c=1 d=0.970446 t=2975
zhuan yi 	轉移	c=1 d=0.666976 t=2975
zhuang 	裝	c=5 d=1.77632 t=2975
zhun bei 	準備	c=1 d=0.0198411 t=2975
zhuo 	卓	c=1 d=0.19205 t=2975
zhuo mian 	桌面	c=2 d=0.0210001 t=2975
zhuo qing 	酌情	c=1 d=0.00489275 t=2975
zhuo shang 	桌上	c=1 d=0.386741 t=2975
zi 	字	c=3 d=1.9802 t=2975
zi dai 	自帶	c=1 d=0.474734 t=2975
zi dong 	自動	c=2 d=0.127937 t=2975
zi fu ji 	字符集	c=1 d=1 t=2975
zi ji 	自己	c=9 d=1.67488 t=2975
zi ti 	字體	c=9 d=3.17913 t=2975
zi xi 	仔細	c=1 d=0.786628 t=2975
zong shi 	總是	c=1 d=0.479505 t=2975
zu chuan 	祖傳	c=1 d=0.00644146 t=2975
zui 	最	c=2 d=0.960416 t=2975
zui da 	最大	c=1 d=0.28224 t=2975
zui hou 	最後	c=1 d=0.00494193 t=2975
zui kuai 	嘴快	c=1 d=0.621885 t=2975
zuo 	做	c=2 d=0.677297 t=2975
zuo de 	做的	c=1 d=0.0113334 t=2975
zuo ge 	做個	c=1 d=0.540641 t=2975
zuo le 	做了	c=1 d=0.0112206 t=2975
zuo sha 	做啥	c=1 d=0.208045 t=2975
zuo wei 	作爲	c=3 d=0.268716 t=2975
